cnt,Pincode,City,Store_ID,Store_Name,Lat,Long
1,411014,Pune,315e9d84-2c4a-45b2-88fb-f6733794efba,PUN-Kharadi%20Network,18.5574028,73.9283005
2,560037,Bengaluru,376dd638-f05e-4171-b4e1-b97650b79fe7,BLR-Marathahalli-3,12.9566294,77.7046823
3,110059,Delhi,6118ee4c-ee70-4b20-b071-f8e5e39fb7be,DEL-Uttam%20Nagar%20New,28.6217627,77.0558233
4,600031,Chennai,a98f0f81-73ab-4839-8d06-4e9427680054,CHN-Nungambakkam%20new,13.0731661,80.240801
5,110020,Delhi,bad19116-3777-4538-9e57-9f158c637a9c,DEL%20-%20Kalkaji,28.5388479,77.2753728
6,500008,Hyderabad,bb713aac-cd12-4b4d-9026-704e3deaaac3,HYD-MEHDIPATNAM,17.3916498,78.4124191
7,560030,Bengaluru,bfbc21c9-ff7a-4f5b-acf1-b773024507b7,BLR-Koramangala%20Network,12.9441502,77.607623
8,400012,Mumbai,c2279e92-0a29-4470-861e-28a8798e031f,Mum-Parel,18.9995407,72.8397089
